propertyId,propertyName,description,propertyType,city,region,country,neighborhood,latitude,longitude,amenities,bedrooms,bathrooms,maxGuests,averageNightlyRateAud
prop_adelaide_garden_cottage,Adelaide Garden Cottage,"A quiet garden cottage close to Adelaide cafes, parks, and city transport, suited to families and longer weekend stays.",Cottage,Adelaide,South Australia,Australia,North Adelaide,-34.9063,138.6007,Garden | Outdoor dining | BBQ | Free parking | Full kitchen | Washer | Family amenities | Heating,2,1,4,260
prop_bondi_coastal_apartment,Bondi Coastal Apartment,"Bright coastal apartment with beach access, compact work space, and an easy route to restaurants and coastal walks.",Apartment,Sydney,New South Wales,Australia,Bondi,-33.8908,151.2743,Ocean view | Balcony | Pool | Secure parking | Kitchenette | Elevator | Air conditioning | Blackout curtains,2,1,4,365
prop_blue_mountains_lodge,Blue Mountains Lodge,"Mountain lodge near lookout trails, with warm interiors, family rooms, and a calm setting for nature-focused trips.",Lodge,Katoomba,New South Wales,Australia,Echo Point,-33.7126,150.3119,Fireplace | Heating | Trail access | Free parking | Full kitchen | Washer | Family amenities | Board games,3,2,6,315
prop_brisbane_river_house,Brisbane River House,"Modern river-adjacent house with open-plan living, outdoor seating, and practical access to Brisbane dining and ferries.",House,Brisbane,Queensland,Australia,New Farm,-27.4698,153.0464,Fast WiFi | Air conditioning | Full kitchen | Washer | Dryer | Smart TV | Dedicated workspace | Self check-in,3,2,6,340
prop_cairns_reef_apartments,Cairns Reef Apartments,"Tropical apartment base for reef trips, with cooling, laundry, and a short ride to the marina and Esplanade.",Apartment,Cairns,Queensland,Australia,Cairns City,-16.9186,145.7781,Pool | Air conditioning | Laundry | Kitchen | Balcony | Secure parking | Lift | Travel cot,2,2,5,285
prop_gold_coast_beach_residences,Gold Coast Beach Residences,"Beachside residence with ocean outlooks, secure parking, and quick access to restaurants, surf, and family attractions.",Residence,Gold Coast,Queensland,Australia,Broadbeach,-28.0296,153.4316,Ocean view | Balcony | Pool | Secure parking | Kitchenette | Elevator | Air conditioning | Blackout curtains,2,2,5,380
prop_hobart_harbour_suites,Hobart Harbour Suites,"Harbour-side suites near Salamanca, restaurants, and galleries, designed for city breaks and work trips.",Suite,Hobart,Tasmania,Australia,Salamanca,-42.8864,147.3317,Harbour view | Gym access | Secure parking | Smart lock | Coffee machine | Workspace | Laundry | Concierge,1,1,3,275
prop_melbourne_laneway_loft,Melbourne Laneway Loft,"Compact design-led loft near laneway cafes, galleries, trams, and central Melbourne offices.",Loft,Melbourne,Victoria,Australia,CBD,-37.8136,144.9631,Fast WiFi | Heating | Air conditioning | Coffee machine | Washer | Smart TV | Workspace | Lift,1,1,2,295
prop_perth_sunset_villa,Perth Sunset Villa,"Spacious west-coast villa with sunset-facing outdoor areas, family-friendly rooms, and easy beach access.",Villa,Perth,Western Australia,Australia,Cottesloe,-31.9959,115.7526,Ocean view | Outdoor dining | BBQ | Parking | Full kitchen | Washer | Dryer | Family amenities,4,2,8,430
prop_sydney_harbour_stay,Sydney Harbour Stay,"Central harbour stay with skyline outlooks, strong transport links, and premium amenities for business or leisure.",Apartment,Sydney,New South Wales,Australia,The Rocks,-33.8599,151.209,Harbour view | Gym access | Secure parking | Smart lock | Coffee machine | Workspace | Laundry | Concierge,2,2,4,420
prop_byron_hinterland_retreat,Byron Hinterland Retreat,"Relaxed hinterland retreat with wide decks, natural light, and a quiet base for beaches, markets, and wellness trips.",Retreat,Byron Bay,New South Wales,Australia,Ewingsdale,-28.6461,153.5594,Deck | Outdoor bath | Kitchen | Free parking | Air conditioning | Washer | Yoga mats | Garden,3,2,6,410
prop_noosa_river_house,Noosa River House,"Calm riverside home with open living, water access, and family-friendly amenities close to Noosa dining and beaches.",House,Noosa,Queensland,Australia,Noosaville,-26.3975,153.0616,River access | Kayaks | Outdoor dining | Full kitchen | Air conditioning | Parking | Laundry | Travel cot,3,2,6,395
prop_darwin_waterfront_apartment,Darwin Waterfront Apartment,"Waterfront apartment with cooling, pool access, and walkable restaurants for tropical city stays.",Apartment,Darwin,Northern Territory,Australia,Waterfront Precinct,-12.4675,130.8456,Pool | Air conditioning | Balcony | Secure parking | Lift | Kitchen | Washer | Smart TV,2,2,4,310
prop_canberra_parliament_townhouse,Canberra Parliament Townhouse,"Professional townhouse near government precincts, restaurants, and lake paths, with space for work-focused stays.",Townhouse,Canberra,ACT,Australia,Barton,-35.3075,149.135,Dedicated workspace | Garage | Heating | Full kitchen | Washer | Dryer | Courtyard | Fast WiFi,2,2,4,300
prop_fremantle_warehouse_studio,Fremantle Warehouse Studio,"Converted warehouse studio near markets, cafes, and the harbour, with practical amenities for independent travellers.",Studio,Fremantle,Western Australia,Australia,West End,-32.0569,115.7439,Kitchenette | Air conditioning | Washer | Fast WiFi | Smart TV | Coffee machine | Self check-in | Ceiling fan,1,1,2,230
prop_port_douglas_palm_villa,Port Douglas Palm Villa,"Palm-framed villa with a private pool, tropical gardens, and a relaxed layout for beach and reef holidays.",Villa,Port Douglas,Queensland,Australia,Four Mile Beach,-16.4846,145.4679,Private pool | Tropical garden | Outdoor shower | Full kitchen | Air conditioning | Parking | BBQ | Laundry,3,2,6,455